question,option_a,option_b,option_c,option_d,correct
At what Gate are Projects Launched?,Gate 1,Gate 2,Gate 5,Gate 6,3
Which of these is not a valid Project Status?,In Progress,Complete,Active,Cancelled,1
At what stage should a Project be added to Accelerator+?,Project Completion,First Forecasted Gate,First Achieved Gate,Project Launch,3
Where should an Internal Order be raised?,SAP,R&D Internal Order Request App,Accelorator+,SUN Financial Forecasting Tool,2
What monthly review meeting allows a Project to pass a Gate?,Business Board (BB),Business Leadership Team Meeting (BLT),Divisional Strategic Portfolio Review (DSPR),Commercialisation Product Review (CPR),4
What does the 'L' in CLARID log stand for?,Lessons Learned,Leadership,Labour,Logistics,1
Which Business Unit is part of the SUN division?,SAM,SIA,SDP,All of the above,4
Which of these PMO tools does NOT need to be updated monthly?,R&D Financial Forecasting Excel,Accelorator+ Status Update,Resource Forecasting Excel,Prioritisation Tool,4
What team needs to approve a Projects Business Case?,Divisional Finance Team,Senior Leadership Team,VP of Engineering,Head of Operations,1
What does NPI stand for?,New Product Innovation,New Product Introduction,New Project Innovation,New Product Introduction,2
